Região,Ano,Variável,Valor
Brasil,2010-01-01,Pessoal ocupado em 31/12,7917153
Brasil,2010-01-01,Número de unidades locais,189532
Brasil,2011-01-01,Pessoal ocupado em 31/12,8156630
Brasil,2011-01-01,Número de unidades locais,198941
Brasil,2012-01-01,Pessoal ocupado em 31/12,8238327
Brasil,2012-01-01,Número de unidades locais,192798
Brasil,2013-01-01,Pessoal ocupado em 31/12,8442742
Brasil,2013-01-01,Número de unidades locais,204389
Brasil,2014-01-01,Pessoal ocupado em 31/12,8305204
Brasil,2014-01-01,Número de unidades locais,209561
Brasil,2015-01-01,Pessoal ocupado em 31/12,7642517
Brasil,2015-01-01,Número de unidades locais,201204
Brasil,2016-01-01,Pessoal ocupado em 31/12,7255933
Brasil,2016-01-01,Número de unidades locais,194690
Brasil,2017-01-01,Pessoal ocupado em 31/12,7168083
Brasil,2017-01-01,Número de unidades locais,186601
Brasil,2018-01-01,Pessoal ocupado em 31/12,7186251
Brasil,2018-01-01,Número de unidades locais,187598
Brasil,2019-01-01,Pessoal ocupado em 31/12,7143024
Brasil,2019-01-01,Número de unidades locais,183884
Brasil,2020-01-01,Pessoal ocupado em 31/12,7200950
Brasil,2020-01-01,Número de unidades locais,181726
Brasil,2021-01-01,Pessoal ocupado em 31/12,7575895
Brasil,2021-01-01,Número de unidades locais,191035
Nordeste,2010-01-01,Pessoal ocupado em 31/12,1047318
Nordeste,2010-01-01,Número de unidades locais,22337
Nordeste,2011-01-01,Pessoal ocupado em 31/12,1091482
Nordeste,2011-01-01,Número de unidades locais,23796
Nordeste,2012-01-01,Pessoal ocupado em 31/12,1049021
Nordeste,2012-01-01,Número de unidades locais,21286
Nordeste,2013-01-01,Pessoal ocupado em 31/12,1102307
Nordeste,2013-01-01,Número de unidades locais,24812
Nordeste,2014-01-01,Pessoal ocupado em 31/12,1075013
Nordeste,2014-01-01,Número de unidades locais,25999
Nordeste,2015-01-01,Pessoal ocupado em 31/12,1020213
Nordeste,2015-01-01,Número de unidades locais,25645
Nordeste,2016-01-01,Pessoal ocupado em 31/12,951730
Nordeste,2016-01-01,Número de unidades locais,24735
Nordeste,2017-01-01,Pessoal ocupado em 31/12,935374
Nordeste,2017-01-01,Número de unidades locais,24107
Nordeste,2018-01-01,Pessoal ocupado em 31/12,930347
Nordeste,2018-01-01,Número de unidades locais,23839
Nordeste,2019-01-01,Pessoal ocupado em 31/12,915590
Nordeste,2019-01-01,Número de unidades locais,22898
Nordeste,2020-01-01,Pessoal ocupado em 31/12,921038
Nordeste,2020-01-01,Número de unidades locais,22691
Nordeste,2021-01-01,Pessoal ocupado em 31/12,968226
Nordeste,2021-01-01,Número de unidades locais,24026
Sergipe,2010-01-01,Pessoal ocupado em 31/12,41336
Sergipe,2010-01-01,Número de unidades locais,881
Sergipe,2011-01-01,Pessoal ocupado em 31/12,45552
Sergipe,2011-01-01,Número de unidades locais,1043
Sergipe,2012-01-01,Pessoal ocupado em 31/12,48410
Sergipe,2012-01-01,Número de unidades locais,955
Sergipe,2013-01-01,Pessoal ocupado em 31/12,50316
Sergipe,2013-01-01,Número de unidades locais,1126
Sergipe,2014-01-01,Pessoal ocupado em 31/12,49325
Sergipe,2014-01-01,Número de unidades locais,1090
Sergipe,2015-01-01,Pessoal ocupado em 31/12,49879
Sergipe,2015-01-01,Número de unidades locais,1119
Sergipe,2016-01-01,Pessoal ocupado em 31/12,43391
Sergipe,2016-01-01,Número de unidades locais,1157
Sergipe,2017-01-01,Pessoal ocupado em 31/12,43552
Sergipe,2017-01-01,Número de unidades locais,1096
Sergipe,2018-01-01,Pessoal ocupado em 31/12,42627
Sergipe,2018-01-01,Número de unidades locais,991
Sergipe,2019-01-01,Pessoal ocupado em 31/12,40614
Sergipe,2019-01-01,Número de unidades locais,1018
Sergipe,2020-01-01,Pessoal ocupado em 31/12,41162
Sergipe,2020-01-01,Número de unidades locais,1023
Sergipe,2021-01-01,Pessoal ocupado em 31/12,39355
Sergipe,2021-01-01,Número de unidades locais,1062
