ANO,MÊS,LOCALIZAÇÃO,PRODUTO,PRODUÇÃO,REGIÃO
1997-01-01,ABR,MAR,GÁS NATURAL,"526970,0",BRASIL
1997-01-01,AGO,MAR,GÁS NATURAL,"524790,0",BRASIL
1997-01-01,DEZ,MAR,GÁS NATURAL,"570119,0",BRASIL
1997-01-01,FEV,MAR,GÁS NATURAL,"536545,0",BRASIL
1997-01-01,JAN,MAR,GÁS NATURAL,"522402,0",BRASIL
1997-01-01,JUL,MAR,GÁS NATURAL,"527135,0",BRASIL
1997-01-01,JUN,MAR,GÁS NATURAL,"532318,0",BRASIL
1997-01-01,MAI,MAR,GÁS NATURAL,"502170,0",BRASIL
1997-01-01,MAR,MAR,GÁS NATURAL,"545231,0",BRASIL
1997-01-01,NOV,MAR,GÁS NATURAL,"498191,0",BRASIL
1997-01-01,OUT,MAR,GÁS NATURAL,"482623,0",BRASIL
1997-01-01,SET,MAR,GÁS NATURAL,"525615,0",BRASIL
1997-01-01,ABR,TERRA,GÁS NATURAL,"291268,0",BRASIL
1997-01-01,AGO,TERRA,GÁS NATURAL,"302563,0",BRASIL
1997-01-01,DEZ,TERRA,GÁS NATURAL,"314915,0",BRASIL
1997-01-01,FEV,TERRA,GÁS NATURAL,"282223,6667",BRASIL
1997-01-01,JAN,TERRA,GÁS NATURAL,"289922,3333",BRASIL
1997-01-01,JUL,TERRA,GÁS NATURAL,"306020,0",BRASIL
1997-01-01,JUN,TERRA,GÁS NATURAL,"300535,0",BRASIL
1997-01-01,MAI,TERRA,GÁS NATURAL,"284760,0",BRASIL
1997-01-01,MAR,TERRA,GÁS NATURAL,"301707,0",BRASIL
1997-01-01,NOV,TERRA,GÁS NATURAL,"288172,0",BRASIL
1997-01-01,OUT,TERRA,GÁS NATURAL,"288995,0",BRASIL
1997-01-01,SET,TERRA,GÁS NATURAL,"279532,0",BRASIL
1998-01-01,ABR,MAR,GÁS NATURAL,"562246,0",BRASIL
1998-01-01,AGO,MAR,GÁS NATURAL,"592224,0",BRASIL
1998-01-01,DEZ,MAR,GÁS NATURAL,"648187,0",BRASIL
1998-01-01,FEV,MAR,GÁS NATURAL,"528797,0",BRASIL
1998-01-01,JAN,MAR,GÁS NATURAL,"554065,0",BRASIL
1998-01-01,JUL,MAR,GÁS NATURAL,"592002,0",BRASIL
1998-01-01,JUN,MAR,GÁS NATURAL,"585227,0",BRASIL
1998-01-01,MAI,MAR,GÁS NATURAL,"607837,0",BRASIL
1998-01-01,MAR,MAR,GÁS NATURAL,"577238,0",BRASIL
1998-01-01,NOV,MAR,GÁS NATURAL,"604912,0",BRASIL
1998-01-01,OUT,MAR,GÁS NATURAL,"610985,0",BRASIL
1998-01-01,SET,MAR,GÁS NATURAL,"573666,0",BRASIL
1998-01-01,ABR,TERRA,GÁS NATURAL,"310832,0",BRASIL
1998-01-01,AGO,TERRA,GÁS NATURAL,"303663,0",BRASIL
1998-01-01,DEZ,TERRA,GÁS NATURAL,"321118,0",BRASIL
1998-01-01,FEV,TERRA,GÁS NATURAL,"296283,0",BRASIL
1998-01-01,JAN,TERRA,GÁS NATURAL,"314449,0",BRASIL
1998-01-01,JUL,TERRA,GÁS NATURAL,"312101,0",BRASIL
1998-01-01,JUN,TERRA,GÁS NATURAL,"301534,0",BRASIL
1998-01-01,MAI,TERRA,GÁS NATURAL,"326551,0",BRASIL
1998-01-01,MAR,TERRA,GÁS NATURAL,"311757,0",BRASIL
1998-01-01,NOV,TERRA,GÁS NATURAL,"316072,0",BRASIL
1998-01-01,OUT,TERRA,GÁS NATURAL,"330375,0",BRASIL
1998-01-01,SET,TERRA,GÁS NATURAL,"305483,0",BRASIL
1999-01-01,ABR,MAR,GÁS NATURAL,"654551,2238",BRASIL
1999-01-01,AGO,MAR,GÁS NATURAL,"671311,7722",BRASIL
1999-01-01,DEZ,MAR,GÁS NATURAL,"697227,1270999999",BRASIL
1999-01-01,FEV,MAR,GÁS NATURAL,"589527,1023",BRASIL
1999-01-01,JAN,MAR,GÁS NATURAL,"667575,0536",BRASIL
1999-01-01,JUL,MAR,GÁS NATURAL,"660723,9118",BRASIL
1999-01-01,JUN,MAR,GÁS NATURAL,"663186,823",BRASIL
1999-01-01,MAI,MAR,GÁS NATURAL,"672786,8224",BRASIL
1999-01-01,MAR,MAR,GÁS NATURAL,"672729,0985",BRASIL
1999-01-01,NOV,MAR,GÁS NATURAL,"659319,5847",BRASIL
1999-01-01,OUT,MAR,GÁS NATURAL,"680268,3003",BRASIL
1999-01-01,SET,MAR,GÁS NATURAL,"669106,0775",BRASIL
1999-01-01,ABR,TERRA,GÁS NATURAL,"313655,1854",BRASIL
1999-01-01,AGO,TERRA,GÁS NATURAL,"333710,72990000003",BRASIL
1999-01-01,DEZ,TERRA,GÁS NATURAL,"339898,1974",BRASIL
1999-01-01,FEV,TERRA,GÁS NATURAL,"298575,9036",BRASIL
1999-01-01,JAN,TERRA,GÁS NATURAL,"329162,8824",BRASIL
1999-01-01,JUL,TERRA,GÁS NATURAL,"332361,48829999997",BRASIL
1999-01-01,JUN,TERRA,GÁS NATURAL,"321739,53239999997",BRASIL
1999-01-01,MAI,TERRA,GÁS NATURAL,"326359,4268",BRASIL
1999-01-01,MAR,TERRA,GÁS NATURAL,"324638,5904",BRASIL
1999-01-01,NOV,TERRA,GÁS NATURAL,"323205,7788",BRASIL
1999-01-01,OUT,TERRA,GÁS NATURAL,"329689,4906",BRASIL
1999-01-01,SET,TERRA,GÁS NATURAL,"323710,9293",BRASIL
2000-01-01,ABR,MAR,GÁS NATURAL,"630183,9952",BRASIL
2000-01-01,AGO,MAR,GÁS NATURAL,"651647,1373",BRASIL
2000-01-01,DEZ,MAR,GÁS NATURAL,"755655,9149",BRASIL
2000-01-01,FEV,MAR,GÁS NATURAL,"614285,7695",BRASIL
