Região,Setor,Atividade,Ano,Valor
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2010-01-01,"3,0310581196787876"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2010-01-01,"1,358315873611814"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2010-01-01,"0,45288297344104567"
Brasil,Indústria,Indústrias extrativas,2010-01-01,"3,3294074190696397"
Brasil,Indústria,Indústrias de transformação,2010-01-01,"14,96748253018621"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2010-01-01,"2,8131547395574654"
Brasil,Indústria,Construção,2010-01-01,"6,265123348391076"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2010-01-01,"12,60215450945247"
Brasil,Serviços,"Transporte, armazenagem e correio",2010-01-01,"4,289036102263516"
Brasil,Serviços,Alojamento e alimentação,2010-01-01,"2,1255646655605367"
Brasil,Serviços,Informação e comunicação,2010-01-01,"3,831308813021528"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2010-01-01,"6,7990275036029555"
Brasil,Serviços,Atividades imobiliárias,2010-01-01,"8,308607138099301"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2010-01-01,"7,439597437356951"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2010-01-01,"16,284318949752326"
Brasil,Serviços,Educação e saúde privadas,2010-01-01,"2,997844279468579"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2010-01-01,"1,8839241380145626"
Brasil,Serviços,Serviços domésticos,2010-01-01,"1,2211914594712423"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2011-01-01,"3,343671657894021"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2011-01-01,"1,2994357419685352"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2011-01-01,"0,4644316927391416"
Brasil,Indústria,Indústrias extrativas,2011-01-01,"4,369539151196586"
Brasil,Indústria,Indústrias de transformação,2011-01-01,"13,861292995679872"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2011-01-01,"2,6668469310658134"
Brasil,Indústria,Construção,2011-01-01,"6,277286605073934"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2011-01-01,"12,854374766997967"
Brasil,Serviços,"Transporte, armazenagem e correio",2011-01-01,"4,449905535899962"
Brasil,Serviços,Alojamento e alimentação,2011-01-01,"2,213542891593279"
Brasil,Serviços,Informação e comunicação,2011-01-01,"3,6825006363458463"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2011-01-01,"6,435385292306517"
Brasil,Serviços,Atividades imobiliárias,2011-01-01,"8,3693929327575"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2011-01-01,"7,624431488463398"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2011-01-01,"16,074862765662637"
Brasil,Serviços,Educação e saúde privadas,2011-01-01,"3,0249745932022933"
Brasil,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2011-01-01,"1,793809960647356"
Brasil,Serviços,Serviços domésticos,2011-01-01,"1,1943143605053241"
Brasil,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2012-01-01,"3,1742007528102287"
Brasil,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2012-01-01,"1,244010210394603"
Brasil,Agropecuária,"Produção florestal, pesca e aquicultura",2012-01-01,"0,4836528416985916"
Brasil,Indústria,Indústrias extrativas,2012-01-01,"4,5476116679477325"
Brasil,Indústria,Indústrias de transformação,2012-01-01,"12,55467717113155"
Brasil,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2012-01-01,"2,4481353036043885"
Brasil,Indústria,Construção,2012-01-01,"6,478266274800901"
Brasil,Serviços,Comércio e reparação de veículos automotores e motocicletas,2012-01-01,"13,392875243114801"
Brasil,Serviços,"Transporte, armazenagem e correio",2012-01-01,"4,471212006861308"
Brasil,Serviços,Alojamento e alimentação,2012-01-01,"2,3015642146723"
Brasil,Serviços,Informação e comunicação,2012-01-01,"3,625833148318163"
Brasil,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2012-01-01,"6,357975887700314"
Brasil,Serviços,Atividades imobiliárias,2012-01-01,"8,76708092966274"
Brasil,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2012-01-01,"7,862643765330934"
Brasil,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2012-01-01,"15,927204409882222"
