Região,Tipo Crime,Ano,Mês,Ocorrências
Brasil,Estupro,2015-01-01,abril,3542
Brasil,Estupro,2015-01-01,agosto,3714
Brasil,Estupro,2015-01-01,dezembro,3571
Brasil,Estupro,2015-01-01,fevereiro,3305
Brasil,Estupro,2015-01-01,janeiro,3954
Brasil,Estupro,2015-01-01,julho,3426
Brasil,Estupro,2015-01-01,junho,3412
Brasil,Estupro,2015-01-01,maio,3470
Brasil,Estupro,2015-01-01,março,3919
Brasil,Estupro,2015-01-01,novembro,3659
Brasil,Estupro,2015-01-01,outubro,3922
Brasil,Estupro,2015-01-01,setembro,3697
Brasil,Estupro,2016-01-01,abril,3604
Brasil,Estupro,2016-01-01,agosto,4261
Brasil,Estupro,2016-01-01,dezembro,3760
Brasil,Estupro,2016-01-01,fevereiro,3614
Brasil,Estupro,2016-01-01,janeiro,4045
Brasil,Estupro,2016-01-01,julho,3856
Brasil,Estupro,2016-01-01,junho,3894
Brasil,Estupro,2016-01-01,maio,3615
Brasil,Estupro,2016-01-01,março,3977
Brasil,Estupro,2016-01-01,novembro,4022
Brasil,Estupro,2016-01-01,outubro,4077
Brasil,Estupro,2016-01-01,setembro,4054
Brasil,Estupro,2017-01-01,abril,3816
Brasil,Estupro,2017-01-01,agosto,4474
Brasil,Estupro,2017-01-01,dezembro,4262
Brasil,Estupro,2017-01-01,fevereiro,3519
Brasil,Estupro,2017-01-01,janeiro,4193
Brasil,Estupro,2017-01-01,julho,3875
Brasil,Estupro,2017-01-01,junho,3806
Brasil,Estupro,2017-01-01,maio,4372
Brasil,Estupro,2017-01-01,março,4260
Brasil,Estupro,2017-01-01,novembro,4559
Brasil,Estupro,2017-01-01,outubro,4888
Brasil,Estupro,2017-01-01,setembro,4489
Brasil,Estupro,2018-01-01,abril,4354
Brasil,Estupro,2018-01-01,agosto,4705
Brasil,Estupro,2018-01-01,dezembro,4110
Brasil,Estupro,2018-01-01,fevereiro,4183
Brasil,Estupro,2018-01-01,janeiro,4511
Brasil,Estupro,2018-01-01,julho,4109
Brasil,Estupro,2018-01-01,junho,4220
Brasil,Estupro,2018-01-01,maio,4673
Brasil,Estupro,2018-01-01,março,4736
Brasil,Estupro,2018-01-01,novembro,4174
Brasil,Estupro,2018-01-01,outubro,4912
Brasil,Estupro,2018-01-01,setembro,4546
Brasil,Estupro,2019-01-01,abril,3821
Brasil,Estupro,2019-01-01,agosto,4771
Brasil,Estupro,2019-01-01,dezembro,4190
Brasil,Estupro,2019-01-01,fevereiro,4133
Brasil,Estupro,2019-01-01,janeiro,4647
Brasil,Estupro,2019-01-01,julho,4205
Brasil,Estupro,2019-01-01,junho,4181
Brasil,Estupro,2019-01-01,maio,4724
Brasil,Estupro,2019-01-01,março,4507
Brasil,Estupro,2019-01-01,novembro,4733
Brasil,Estupro,2019-01-01,outubro,5162
Brasil,Estupro,2019-01-01,setembro,4862
Brasil,Estupro,2020-01-01,abril,2847
Brasil,Estupro,2020-01-01,agosto,4398
Brasil,Estupro,2020-01-01,dezembro,4265
Brasil,Estupro,2020-01-01,fevereiro,4132
Brasil,Estupro,2020-01-01,janeiro,4357
Brasil,Estupro,2020-01-01,julho,3967
Brasil,Estupro,2020-01-01,junho,3700
Brasil,Estupro,2020-01-01,maio,3069
Brasil,Estupro,2020-01-01,março,3749
Brasil,Estupro,2020-01-01,novembro,4586
Brasil,Estupro,2020-01-01,outubro,4500
Brasil,Estupro,2020-01-01,setembro,4562
Brasil,Estupro,2021-01-01,abril,4201
