Componente,Ano,Valor,Região
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2010-01-01,"0,42249784924625117",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2011-01-01,"0,41867026233084775",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2012-01-01,"0,4133958909686033",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2013-01-01,"0,41225770593752487",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2014-01-01,"0,41551490233841426",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2015-01-01,"0,40442263876285256",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2016-01-01,"0,4077824608953295",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2017-01-01,"0,4071917927306455",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2018-01-01,"0,40993035405769196",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2019-01-01,"0,4124886945433757",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2020-01-01,"0,4357921976682246",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2021-01-01,"0,4525438014625153",Brasil
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2010-01-01,"0,41300618708863734",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2011-01-01,"0,4031244471534033",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2012-01-01,"0,4024665041940032",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2013-01-01,"0,39595391144701153",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2014-01-01,"0,40017422787416607",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2015-01-01,"0,3960278155111742",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2016-01-01,"0,40180761604763876",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2017-01-01,"0,404814939886771",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2018-01-01,"0,40283324021077066",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2019-01-01,"0,39847127411998695",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2020-01-01,"0,42890304570612653",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2021-01-01,"0,44034499200496785",Nordeste
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2010-01-01,"0,43153045706222815",Sergipe
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2011-01-01,"0,4260626155498407",Sergipe
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2012-01-01,"0,42999629979336473",Sergipe
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2013-01-01,"0,40942572867634697",Sergipe
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2014-01-01,"0,3952756864751856",Sergipe
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2015-01-01,"0,38005494409793383",Sergipe
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2016-01-01,"0,39156593030951575",Sergipe
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2017-01-01,"0,38552416812441165",Sergipe
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2018-01-01,"0,37548257836911514",Sergipe
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2019-01-01,"0,39104724936272167",Sergipe
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2020-01-01,"0,4150710988176999",Sergipe
Excedente Operacional Bruto (EOB) e Rendimento Misto (RM),2021-01-01,"0,4317769615140463",Sergipe
