Região,Ano,Variável,Classe,Valor
Brasil,2012-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"6,9"
Brasil,2013-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"6,3"
Brasil,2014-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"6,6"
Brasil,2015-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"9,1"
Brasil,2016-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"12,2"
Brasil,2017-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"11,9"
Brasil,2018-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"11,7"
Brasil,2019-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"11,1"
Brasil,2020-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"14,2"
Brasil,2021-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"11,1"
Brasil,2022-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"7,9"
Nordeste,2012-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"9,4"
Nordeste,2013-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"8,0"
Nordeste,2014-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"8,3"
Nordeste,2015-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"10,6"
Nordeste,2016-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"14,5"
Nordeste,2017-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"14,0"
Nordeste,2018-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"14,5"
Nordeste,2019-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"13,8"
Nordeste,2020-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"0,0"
Nordeste,2021-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"0,0"
Nordeste,2022-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"10,9"
Sergipe,2012-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"9,7"
Sergipe,2013-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"8,8"
Sergipe,2014-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"9,0"
Sergipe,2015-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"10,1"
Sergipe,2016-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"15,2"
Sergipe,2017-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"13,6"
Sergipe,2018-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"15,2"
Sergipe,2019-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"15,0"
Sergipe,2020-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"0,0"
Sergipe,2021-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"0,0"
Sergipe,2022-01-01,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Total,"11,9"
