Região,Ocupação,Valor,Ano
Sergipe,Estuda e está ocupado,"11,964393458849509",2012-01-01
Sergipe,Não estuda e não está ocupado,"24,17739343890454",2012-01-01
Sergipe,Só estuda,"25,60534787983632",2012-01-01
Sergipe,Só está ocupado,"38,2528652224094",2012-01-01
Sergipe,Estuda e está ocupado,"12,012312792250674",2013-01-01
Sergipe,Não estuda e não está ocupado,"24,46965655933733",2013-01-01
Sergipe,Só estuda,"26,609715927657998",2013-01-01
Sergipe,Só está ocupado,"36,90831472075404",2013-01-01
Sergipe,Estuda e está ocupado,"11,74810123988309",2014-01-01
Sergipe,Não estuda e não está ocupado,"23,598926232616357",2014-01-01
Sergipe,Só estuda,"24,878493916504908",2014-01-01
Sergipe,Só está ocupado,"39,77447861099596",2014-01-01
Sergipe,Estuda e está ocupado,"10,884775323076862",2015-01-01
Sergipe,Não estuda e não está ocupado,"25,48512682232793",2015-01-01
Sergipe,Só estuda,"25,643314883268935",2015-01-01
Sergipe,Só está ocupado,"37,98678297132652",2015-01-01
Sergipe,Estuda e está ocupado,"9,108069622139048",2016-01-01
Sergipe,Não estuda e não está ocupado,"27,704103608913968",2016-01-01
Sergipe,Só estuda,"25,77501322845462",2016-01-01
Sergipe,Só está ocupado,"37,412813540492834",2016-01-01
Sergipe,Estuda e está ocupado,"9,678321003268797",2017-01-01
Sergipe,Não estuda e não está ocupado,"30,643261727762297",2017-01-01
Sergipe,Só estuda,"24,634034290991057",2017-01-01
Sergipe,Só está ocupado,"35,04438297797804",2017-01-01
Sergipe,Estuda e está ocupado,"8,01773407447082",2018-01-01
Sergipe,Não estuda e não está ocupado,"31,303582296017524",2018-01-01
Sergipe,Só estuda,"28,408661375293082",2018-01-01
Sergipe,Só está ocupado,"32,27002225421842",2018-01-01
Sergipe,Estuda e está ocupado,"8,97844527129217",2019-01-01
Sergipe,Não estuda e não está ocupado,"27,539109492687594",2019-01-01
Sergipe,Só estuda,"26,09824277068888",2019-01-01
Sergipe,Só está ocupado,"37,38420246533146",2019-01-01
Sergipe,Estuda e está ocupado,"6,617084314546272",2020-01-01
Sergipe,Não estuda e não está ocupado,"32,40384820561173",2020-01-01
Sergipe,Só estuda,"29,626167216971496",2020-01-01
Sergipe,Só está ocupado,"31,352900262870797",2020-01-01
Sergipe,Estuda e está ocupado,"7,825615709242955",2021-01-01
Sergipe,Não estuda e não está ocupado,"32,967300950609875",2021-01-01
Sergipe,Só estuda,"26,50874503070254",2021-01-01
Sergipe,Só está ocupado,"32,69833830944476",2021-01-01
