Região,Ano,Valor
Brasil,2011-01-01,47215
Brasil,2012-01-01,54694
Brasil,2013-01-01,55847
Brasil,2014-01-01,59730
Brasil,2015-01-01,58459
Brasil,2016-01-01,61597
Brasil,2017-01-01,64078
Brasil,2018-01-01,57592
Brasil,2019-01-01,47765
Brasil,2020-01-01,50448
Brasil,2021-01-01,48335
Brasil,2022-01-01,47398
Região Nordeste,2011-01-01,19934
Região Nordeste,2012-01-01,20724
Região Nordeste,2013-01-01,22274
Região Nordeste,2014-01-01,23737
Região Nordeste,2015-01-01,23500
Região Nordeste,2016-01-01,24814
Região Nordeste,2017-01-01,27288
Região Nordeste,2018-01-01,23474
Região Nordeste,2019-01-01,18190
Região Nordeste,2020-01-01,22147
Região Nordeste,2021-01-01,21011
Região Nordeste,2022-01-01,20122
Sergipe,2011-01-01,712
Sergipe,2012-01-01,845
Sergipe,2013-01-01,952
Sergipe,2014-01-01,1077
Sergipe,2015-01-01,1286
Sergipe,2016-01-01,1450
Sergipe,2017-01-01,1275
Sergipe,2018-01-01,1130
Sergipe,2019-01-01,967
Sergipe,2020-01-01,988
Sergipe,2021-01-01,795
Sergipe,2022-01-01,768
