Região,Ano,Variável,Valor
Sergipe,2010-01-01,Pessoal ocupado em 31/12,41336
Sergipe,2010-01-01,Número de unidades locais,881
Sergipe,2011-01-01,Pessoal ocupado em 31/12,45552
Sergipe,2011-01-01,Número de unidades locais,1043
Sergipe,2012-01-01,Pessoal ocupado em 31/12,48410
Sergipe,2012-01-01,Número de unidades locais,955
Sergipe,2013-01-01,Pessoal ocupado em 31/12,50316
Sergipe,2013-01-01,Número de unidades locais,1126
Sergipe,2014-01-01,Pessoal ocupado em 31/12,49325
Sergipe,2014-01-01,Número de unidades locais,1090
Sergipe,2015-01-01,Pessoal ocupado em 31/12,49879
Sergipe,2015-01-01,Número de unidades locais,1119
Sergipe,2016-01-01,Pessoal ocupado em 31/12,43391
Sergipe,2016-01-01,Número de unidades locais,1157
Sergipe,2017-01-01,Pessoal ocupado em 31/12,43552
Sergipe,2017-01-01,Número de unidades locais,1096
Sergipe,2018-01-01,Pessoal ocupado em 31/12,42627
Sergipe,2018-01-01,Número de unidades locais,991
Sergipe,2019-01-01,Pessoal ocupado em 31/12,40614
Sergipe,2019-01-01,Número de unidades locais,1018
Sergipe,2020-01-01,Pessoal ocupado em 31/12,41162
Sergipe,2020-01-01,Número de unidades locais,1023
Sergipe,2021-01-01,Pessoal ocupado em 31/12,39355
Sergipe,2021-01-01,Número de unidades locais,1062
