Região,Ano,Variável,Valor
Sergipe,2010-01-01,Pessoal ocupado em 31/12,25612
Sergipe,2010-01-01,Empresas - unidades da federação de origem - sede,265
Sergipe,2011-01-01,Pessoal ocupado em 31/12,29390
Sergipe,2011-01-01,Empresas - unidades da federação de origem - sede,374
Sergipe,2012-01-01,Pessoal ocupado em 31/12,30113
Sergipe,2012-01-01,Empresas - unidades da federação de origem - sede,303
Sergipe,2013-01-01,Pessoal ocupado em 31/12,30034
Sergipe,2013-01-01,Empresas - unidades da federação de origem - sede,385
Sergipe,2014-01-01,Pessoal ocupado em 31/12,31834
Sergipe,2014-01-01,Empresas - unidades da federação de origem - sede,422
Sergipe,2015-01-01,Pessoal ocupado em 31/12,30633
Sergipe,2015-01-01,Empresas - unidades da federação de origem - sede,467
Sergipe,2016-01-01,Pessoal ocupado em 31/12,20058
Sergipe,2016-01-01,Empresas - unidades da federação de origem - sede,452
Sergipe,2017-01-01,Pessoal ocupado em 31/12,17367
Sergipe,2017-01-01,Empresas - unidades da federação de origem - sede,359
Sergipe,2018-01-01,Pessoal ocupado em 31/12,17844
Sergipe,2018-01-01,Empresas - unidades da federação de origem - sede,377
Sergipe,2019-01-01,Pessoal ocupado em 31/12,14574
Sergipe,2019-01-01,Empresas - unidades da federação de origem - sede,293
Sergipe,2020-01-01,Pessoal ocupado em 31/12,13056
Sergipe,2020-01-01,Empresas - unidades da federação de origem - sede,349
Sergipe,2021-01-01,Pessoal ocupado em 31/12,13113
Sergipe,2021-01-01,Empresas - unidades da federação de origem - sede,408
