ANO,LOCALIZAÇÃO,PRODUÇÃO,REGIÃO
1997-01-01,MAR,"33256,0",SERGIPE
1997-02-01,MAR,"34587,0",SERGIPE
1997-03-01,MAR,"33395,0",SERGIPE
1997-04-01,MAR,"32075,0",SERGIPE
1997-05-01,MAR,"36052,0",SERGIPE
1997-06-01,MAR,"34855,0",SERGIPE
1997-07-01,MAR,"35978,0",SERGIPE
1997-08-01,MAR,"34270,0",SERGIPE
1997-09-01,MAR,"39655,0",SERGIPE
1997-10-01,MAR,"38630,0",SERGIPE
1997-11-01,MAR,"36395,0",SERGIPE
1997-12-01,MAR,"38719,0",SERGIPE
1997-01-01,TERRA,"123453,0",SERGIPE
1997-02-01,TERRA,"124334,0",SERGIPE
1997-03-01,TERRA,"127248,0",SERGIPE
1997-04-01,TERRA,"121150,0",SERGIPE
1997-05-01,TERRA,"123758,0",SERGIPE
1997-06-01,TERRA,"122921,0",SERGIPE
1997-07-01,TERRA,"126212,0",SERGIPE
1997-08-01,TERRA,"126845,0",SERGIPE
1997-09-01,TERRA,"118348,0",SERGIPE
1997-10-01,TERRA,"125735,0",SERGIPE
1997-11-01,TERRA,"124150,0",SERGIPE
1997-12-01,TERRA,"128509,0",SERGIPE
1998-01-01,MAR,"40322,0",SERGIPE
1998-02-01,MAR,"35793,0",SERGIPE
1998-03-01,MAR,"42695,0",SERGIPE
1998-04-01,MAR,"46950,0",SERGIPE
1998-05-01,MAR,"53467,0",SERGIPE
1998-06-01,MAR,"49390,0",SERGIPE
1998-07-01,MAR,"59384,0",SERGIPE
1998-08-01,MAR,"55737,0",SERGIPE
1998-09-01,MAR,"52230,0",SERGIPE
1998-10-01,MAR,"49450,0",SERGIPE
1998-11-01,MAR,"52000,0",SERGIPE
1998-12-01,MAR,"72227,0",SERGIPE
1998-01-01,TERRA,"126243,0",SERGIPE
1998-02-01,TERRA,"111723,0",SERGIPE
1998-03-01,TERRA,"122812,0",SERGIPE
1998-04-01,TERRA,"117645,0",SERGIPE
1998-05-01,TERRA,"120795,0",SERGIPE
1998-06-01,TERRA,"117450,0",SERGIPE
1998-07-01,TERRA,"119446,0",SERGIPE
1998-08-01,TERRA,"118266,0",SERGIPE
1998-09-01,TERRA,"116074,0",SERGIPE
1998-10-01,TERRA,"123119,0",SERGIPE
1998-11-01,TERRA,"116920,0",SERGIPE
1998-12-01,TERRA,"121487,0",SERGIPE
1999-01-01,MAR,"59115,0",SERGIPE
1999-02-01,MAR,"57185,0",SERGIPE
1999-03-01,MAR,"67965,0",SERGIPE
1999-04-01,MAR,"69695,0",SERGIPE
1999-05-01,MAR,"73245,0",SERGIPE
1999-06-01,MAR,"71941,0",SERGIPE
1999-07-01,MAR,"73630,0",SERGIPE
1999-08-01,MAR,"68415,0",SERGIPE
1999-09-01,MAR,"67970,0",SERGIPE
1999-10-01,MAR,"66470,0",SERGIPE
1999-11-01,MAR,"65031,6",SERGIPE
1999-12-01,MAR,"66863,04",SERGIPE
1999-01-01,TERRA,"116350,0",SERGIPE
