ANO,LOCALIZAÇÃO,PRODUTO,PRODUÇÃO,REGIÃO
1997-04-01,MAR,GÁS NATURAL,"53883,0",SERGIPE
1997-04-01,TERRA,GÁS NATURAL,"5756,0",SERGIPE
1997-08-01,MAR,GÁS NATURAL,"55382,0",SERGIPE
1997-08-01,TERRA,GÁS NATURAL,"5449,0",SERGIPE
1997-12-01,MAR,GÁS NATURAL,"58647,0",SERGIPE
1997-12-01,TERRA,GÁS NATURAL,"6853,0",SERGIPE
1997-02-01,MAR,GÁS NATURAL,"56233,0",SERGIPE
1997-02-01,TERRA,GÁS NATURAL,"5122,0",SERGIPE
1997-01-01,MAR,GÁS NATURAL,"52113,0",SERGIPE
1997-01-01,TERRA,GÁS NATURAL,"6775,0",SERGIPE
1997-07-01,MAR,GÁS NATURAL,"60103,0",SERGIPE
1997-07-01,TERRA,GÁS NATURAL,"6210,0",SERGIPE
1997-06-01,MAR,GÁS NATURAL,"58893,0",SERGIPE
1997-06-01,TERRA,GÁS NATURAL,"6238,0",SERGIPE
1997-05-01,MAR,GÁS NATURAL,"53694,0",SERGIPE
1997-05-01,TERRA,GÁS NATURAL,"5709,0",SERGIPE
1997-03-01,MAR,GÁS NATURAL,"54736,0",SERGIPE
1997-03-01,TERRA,GÁS NATURAL,"5873,0",SERGIPE
1997-11-01,MAR,GÁS NATURAL,"52803,0",SERGIPE
1997-11-01,TERRA,GÁS NATURAL,"5359,0",SERGIPE
1997-10-01,MAR,GÁS NATURAL,"57270,0",SERGIPE
1997-10-01,TERRA,GÁS NATURAL,"5310,0",SERGIPE
1997-09-01,MAR,GÁS NATURAL,"57066,0",SERGIPE
1997-09-01,TERRA,GÁS NATURAL,"5344,0",SERGIPE
1998-04-01,MAR,GÁS NATURAL,"61945,0",SERGIPE
1998-04-01,TERRA,GÁS NATURAL,"5085,0",SERGIPE
1998-08-01,MAR,GÁS NATURAL,"57333,0",SERGIPE
1998-08-01,TERRA,GÁS NATURAL,"5340,0",SERGIPE
1998-12-01,MAR,GÁS NATURAL,"61359,0",SERGIPE
1998-12-01,TERRA,GÁS NATURAL,"5593,0",SERGIPE
1998-02-01,MAR,GÁS NATURAL,"56021,0",SERGIPE
1998-02-01,TERRA,GÁS NATURAL,"5063,0",SERGIPE
1998-01-01,MAR,GÁS NATURAL,"62680,0",SERGIPE
1998-01-01,TERRA,GÁS NATURAL,"6526,0",SERGIPE
1998-07-01,MAR,GÁS NATURAL,"59957,0",SERGIPE
1998-07-01,TERRA,GÁS NATURAL,"5233,0",SERGIPE
