Região,Tipo Crime,Ano,Mês,Ocorrências
Brasil,Furto de veículo,2015-01-01,abril,22030
Brasil,Furto de veículo,2015-01-01,agosto,22237
Brasil,Furto de veículo,2015-01-01,dezembro,22530
Brasil,Furto de veículo,2015-01-01,fevereiro,21381
Brasil,Furto de veículo,2015-01-01,janeiro,23123
Brasil,Furto de veículo,2015-01-01,julho,21839
Brasil,Furto de veículo,2015-01-01,junho,21180
Brasil,Furto de veículo,2015-01-01,maio,22202
Brasil,Furto de veículo,2015-01-01,março,23691
Brasil,Furto de veículo,2015-01-01,novembro,24107
Brasil,Furto de veículo,2015-01-01,outubro,22841
Brasil,Furto de veículo,2015-01-01,setembro,21789
Brasil,Furto de veículo,2016-01-01,abril,23098
Brasil,Furto de veículo,2016-01-01,agosto,23632
Brasil,Furto de veículo,2016-01-01,dezembro,21549
Brasil,Furto de veículo,2016-01-01,fevereiro,22494
Brasil,Furto de veículo,2016-01-01,janeiro,23416
Brasil,Furto de veículo,2016-01-01,julho,23498
Brasil,Furto de veículo,2016-01-01,junho,23638
Brasil,Furto de veículo,2016-01-01,maio,23768
Brasil,Furto de veículo,2016-01-01,março,24170
Brasil,Furto de veículo,2016-01-01,novembro,22821
Brasil,Furto de veículo,2016-01-01,outubro,23734
Brasil,Furto de veículo,2016-01-01,setembro,23105
Brasil,Furto de veículo,2017-01-01,abril,21911
Brasil,Furto de veículo,2017-01-01,agosto,22049
Brasil,Furto de veículo,2017-01-01,dezembro,20183
Brasil,Furto de veículo,2017-01-01,fevereiro,20835
Brasil,Furto de veículo,2017-01-01,janeiro,22550
Brasil,Furto de veículo,2017-01-01,julho,21678
Brasil,Furto de veículo,2017-01-01,junho,21628
Brasil,Furto de veículo,2017-01-01,maio,23285
Brasil,Furto de veículo,2017-01-01,março,24157
Brasil,Furto de veículo,2017-01-01,novembro,21751
Brasil,Furto de veículo,2017-01-01,outubro,22135
Brasil,Furto de veículo,2017-01-01,setembro,21060
Brasil,Furto de veículo,2018-01-01,abril,20618
Brasil,Furto de veículo,2018-01-01,agosto,20164
Brasil,Furto de veículo,2018-01-01,dezembro,17897
Brasil,Furto de veículo,2018-01-01,fevereiro,19667
Brasil,Furto de veículo,2018-01-01,janeiro,21079
Brasil,Furto de veículo,2018-01-01,julho,20060
Brasil,Furto de veículo,2018-01-01,junho,20138
Brasil,Furto de veículo,2018-01-01,maio,19747
Brasil,Furto de veículo,2018-01-01,março,21561
Brasil,Furto de veículo,2018-01-01,novembro,19965
Brasil,Furto de veículo,2018-01-01,outubro,21015
Brasil,Furto de veículo,2018-01-01,setembro,19589
Brasil,Furto de veículo,2019-01-01,abril,18921
Brasil,Furto de veículo,2019-01-01,agosto,12549
Brasil,Furto de veículo,2019-01-01,dezembro,17969
Brasil,Furto de veículo,2019-01-01,fevereiro,17990
Brasil,Furto de veículo,2019-01-01,janeiro,18724
Brasil,Furto de veículo,2019-01-01,julho,19753
Brasil,Furto de veículo,2019-01-01,junho,18466
Brasil,Furto de veículo,2019-01-01,maio,19707
Brasil,Furto de veículo,2019-01-01,março,19158
Brasil,Furto de veículo,2019-01-01,novembro,18830
Brasil,Furto de veículo,2019-01-01,outubro,19185
Brasil,Furto de veículo,2019-01-01,setembro,18129
Brasil,Furto de veículo,2020-01-01,abril,12144
Brasil,Furto de veículo,2020-01-01,agosto,13041
Brasil,Furto de veículo,2020-01-01,dezembro,14326
Brasil,Furto de veículo,2020-01-01,fevereiro,18154
Brasil,Furto de veículo,2020-01-01,janeiro,19373
Brasil,Furto de veículo,2020-01-01,julho,13670
Brasil,Furto de veículo,2020-01-01,junho,12658
Brasil,Furto de veículo,2020-01-01,maio,12465
Brasil,Furto de veículo,2020-01-01,março,16032
Brasil,Furto de veículo,2020-01-01,novembro,14776
Brasil,Furto de veículo,2020-01-01,outubro,14191
Brasil,Furto de veículo,2020-01-01,setembro,13188
Brasil,Furto de veículo,2021-01-01,abril,13998
Brasil,Furto de veículo,2021-01-01,agosto,16299
Brasil,Furto de veículo,2021-01-01,dezembro,16550
Brasil,Furto de veículo,2021-01-01,fevereiro,14295
Brasil,Furto de veículo,2021-01-01,janeiro,14894
Brasil,Furto de veículo,2021-01-01,julho,15922
Brasil,Furto de veículo,2021-01-01,junho,14996
Brasil,Furto de veículo,2021-01-01,maio,15257
Brasil,Furto de veículo,2021-01-01,março,14643
Brasil,Furto de veículo,2021-01-01,novembro,16918
Brasil,Furto de veículo,2021-01-01,outubro,16568
Brasil,Furto de veículo,2021-01-01,setembro,15955
Brasil,Furto de veículo,2022-01-01,abril,17203
Brasil,Furto de veículo,2022-01-01,agosto,18273
Brasil,Furto de veículo,2022-01-01,dezembro,19102
Brasil,Furto de veículo,2022-01-01,fevereiro,16232
Brasil,Furto de veículo,2022-01-01,janeiro,16311
Brasil,Furto de veículo,2022-01-01,julho,17643
Brasil,Furto de veículo,2022-01-01,junho,18144
Brasil,Furto de veículo,2022-01-01,maio,18360
Brasil,Furto de veículo,2022-01-01,março,19468
Brasil,Furto de veículo,2022-01-01,novembro,19946
Brasil,Furto de veículo,2022-01-01,outubro,19601
Brasil,Furto de veículo,2022-01-01,setembro,19265
Brasil,Roubo a instituição financeira,2015-01-01,abril,112
Brasil,Roubo a instituição financeira,2015-01-01,agosto,95
Brasil,Roubo a instituição financeira,2015-01-01,dezembro,95
Brasil,Roubo a instituição financeira,2015-01-01,fevereiro,115
Brasil,Roubo a instituição financeira,2015-01-01,janeiro,111
Brasil,Roubo a instituição financeira,2015-01-01,julho,103
Brasil,Roubo a instituição financeira,2015-01-01,junho,100
Brasil,Roubo a instituição financeira,2015-01-01,maio,82
Brasil,Roubo a instituição financeira,2015-01-01,março,112
Brasil,Roubo a instituição financeira,2015-01-01,novembro,122
Brasil,Roubo a instituição financeira,2015-01-01,outubro,111
Brasil,Roubo a instituição financeira,2015-01-01,setembro,113
Brasil,Roubo a instituição financeira,2016-01-01,abril,90
Brasil,Roubo a instituição financeira,2016-01-01,agosto,92
Brasil,Roubo a instituição financeira,2016-01-01,dezembro,88
Brasil,Roubo a instituição financeira,2016-01-01,fevereiro,99
Brasil,Roubo a instituição financeira,2016-01-01,janeiro,105
Brasil,Roubo a instituição financeira,2016-01-01,julho,82
Brasil,Roubo a instituição financeira,2016-01-01,junho,68
Brasil,Roubo a instituição financeira,2016-01-01,maio,93
Brasil,Roubo a instituição financeira,2016-01-01,março,111
Brasil,Roubo a instituição financeira,2016-01-01,novembro,91
Brasil,Roubo a instituição financeira,2016-01-01,outubro,83
Brasil,Roubo a instituição financeira,2016-01-01,setembro,79
Brasil,Roubo a instituição financeira,2017-01-01,abril,60
Brasil,Roubo a instituição financeira,2017-01-01,agosto,51
Brasil,Roubo a instituição financeira,2017-01-01,dezembro,81
Brasil,Roubo a instituição financeira,2017-01-01,fevereiro,82
Brasil,Roubo a instituição financeira,2017-01-01,janeiro,65
Brasil,Roubo a instituição financeira,2017-01-01,julho,60
Brasil,Roubo a instituição financeira,2017-01-01,junho,78
Brasil,Roubo a instituição financeira,2017-01-01,maio,83
Brasil,Roubo a instituição financeira,2017-01-01,março,82
Brasil,Roubo a instituição financeira,2017-01-01,novembro,67
Brasil,Roubo a instituição financeira,2017-01-01,outubro,75
Brasil,Roubo a instituição financeira,2017-01-01,setembro,59
Brasil,Roubo a instituição financeira,2018-01-01,abril,49
Brasil,Roubo a instituição financeira,2018-01-01,agosto,50
Brasil,Roubo a instituição financeira,2018-01-01,dezembro,59
Brasil,Roubo a instituição financeira,2018-01-01,fevereiro,48
Brasil,Roubo a instituição financeira,2018-01-01,janeiro,85
Brasil,Roubo a instituição financeira,2018-01-01,julho,52
Brasil,Roubo a instituição financeira,2018-01-01,junho,63
Brasil,Roubo a instituição financeira,2018-01-01,maio,67
