figure,link
Gráfico 1.5: Participação dos salários no PIB (ótica da renda),https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9054-contas-regionais-do-brasil.html?=&t=downloads
Gráfico 1.6: Participação das contribuições sociais no PIB (ótica da renda),https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9054-contas-regionais-do-brasil.html?=&t=downloads
Gráfico 1.7: Participação dos impostos líquidos de subsídios no PIB (ótica da renda),https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9054-contas-regionais-do-brasil.html?=&t=downloads
Gráfico 1.8: Participação do excedente operacional bruto e rendas mistas no PIB (ótica da renda),https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9054-contas-regionais-do-brasil.html?=&t=downloads
Tabela 1.1: Participação (%) do valor adicionado bruto no total de todas atividades,https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9054-contas-regionais-do-brasil.html?=&t=downloads
Gráfico 4.2: Dados gerais da Indústria em Sergipe,https://sidra.ibge.gov.br/tabela/5603
Gráfico 5.4: Empresas com sede em Sergipe e pessoal ocupado,https://sidra.ibge.gov.br/tabela/1761
Gráfico 7.1: Consumo de energia elétrica per capita,https://www.epe.gov.br/pt/publicacoes-dados-abertos/publicacoes/anuario-estatistico-de-energia-eletrica
Gráfico 8.1: Produção de petróleo em Sergipe,https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/producao-de-petroleo-e-gas-natural-por-estado-e-localizacao
Gráfico 8.2: Produção de gás natural em Sergipe,https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/producao-de-petroleo-e-gas-natural-por-estado-e-localizacao
Gráfico 11.11: Relação Dívida Consolidada Líquida / Receita Corrente Líquida (RCL) do Governo do Estado de Sergipe,https://siconfi.tesouro.gov.br/siconfi/index.jsf
Gráfico 13.6: Evolução da taxa de desemprego,https://sidra.ibge.gov.br/tabela/6402
Gráfico 13.8: Jovens de 15 a 29 anos por tipo de atividade,https://www.ibge.gov.br/estatisticas/sociais/populacao/9221-sintese-de-indicadores-sociais.html?edicao=29143&t=downloads
Tabela 13.2: Ocupação por setor de atividade em Sergipe,https://sidra.ibge.gov.br/tabela/5434
